HS_Code,VAT_Rate
0303110000,9.0%
0303120000,9.0%
0303130000,9.0%
0303140000,9.0%
0303190010,9.0%
0303190020,9.0%
0303190090,9.0%
0303230000,9.0%
0303240000,9.0%
0303250000,9.0%
0303260010,9.0%
0303260020,9.0%
0303260090,9.0%
0303290001,9.0%
0303290090,9.0%
0303311000,9.0%
0303319010,9.0%
0303319090,9.0%
0303320000,9.0%
0303330000,9.0%
0303340000,9.0%
0303390010,9.0%
0303390090,9.0%
0303410000,9.0%
0303420000,9.0%
0303430000,9.0%
0303440000,9.0%
0303451000,9.0%
0303452000,9.0%
0303460000,9.0%
0303490000,9.0%
0303510010,9.0%
0303510090,9.0%
0303530000,9.0%
0303540000,9.0%
0303550000,9.0%
0303560000,9.0%
0303570000,9.0%
0303590010,9.0%
0303590090,9.0%
0303630000,9.0%
0303640000,9.0%
0303650000,9.0%
0303660000,9.0%
0303670000,9.0%
0303680000,9.0%
0303690000,9.0%
0303810010,9.0%
0303810090,9.0%
0303820000,9.0%
0303830000,9.0%
0303840000,9.0%
0303891000,9.0%
0303892000,9.0%
0303893000,9.0%
0303899001,9.0%
0303899010,9.0%
0303899020,9.0%
0303899030,9.0%
0303899090,9.0%
0303910010,9.0%
0303910090,9.0%
0303920010,9.0%
0303920090,9.0%
0303990010,9.0%
0303990020,9.0%
0303990090,9.0%
0304310000,9.0%
0304320000,9.0%
0304330000,9.0%
0304390010,9.0%
0304390020,9.0%
0304390090,9.0%
0304410000,9.0%
0304420000,9.0%
0304430000,9.0%
0304440000,9.0%
0304450000,9.0%
0304460000,9.0%
0304470010,9.0%
0304470090,9.0%
0304480010,9.0%
0304480090,9.0%
0304490010,9.0%
0304490090,9.0%
0304510010,9.0%
0304510020,9.0%
0304510090,9.0%
0304520000,9.0%
0304530000,9.0%
0304540000,9.0%
0304550000,9.0%
0304560010,9.0%
0304560090,9.0%
0304570010,9.0%
0304570090,9.0%
0304590010,9.0%
0304590090,9.0%
0304610000,9.0%
0304621100,9.0%
0304621900,9.0%
0304629000,9.0%
0304630000,9.0%
0304690010,9.0%
0304690020,9.0%
0304690090,9.0%
0304710000,9.0%
0304720000,9.0%
0304730000,9.0%
0304740000,9.0%
0304750000,9.0%
0304790000,9.0%
0304810000,9.0%
0304820000,9.0%
0304830000,9.0%
0304840000,9.0%
0304850000,9.0%
0304860000,9.0%
0304870000,9.0%
0304880010,9.0%
0304880090,9.0%
0304890010,9.0%
0304890090,9.0%
0304910000,9.0%
0304920000,9.0%
0304930010,9.0%
0304930020,9.0%
0304930090,9.0%
0304940000,9.0%
0304950000,9.0%
0304960010,9.0%
0304960090,9.0%
0304970010,9.0%
0304970090,9.0%
0304990010,9.0%
0304990090,9.0%
0305100000,9.0%
0305200010,9.0%
0305200090,9.0%
0305310010,9.0%
0305310020,9.0%
0305310090,9.0%
0305320000,9.0%
0305390010,9.0%
0305390090,9.0%
0305411000,9.0%
0305412000,9.0%
0305420000,9.0%
0305430000,9.0%
0305440010,9.0%
0305440020,9.0%
0305440090,9.0%
0305490020,9.0%
0305490090,9.0%
0305510000,9.0%
0305520000,9.0%
