HS_Code,VAT_Rate
2915299011,13.0%
2915299023,13.0%
2915299090,13.0%
2915310000,13.0%
2915320000,13.0%
2915330000,13.0%
2915360000,13.0%
2915390011,13.0%
2915390013,13.0%
2915390014,13.0%
2915390015,13.0%
2915390016,13.0%
2915390090,13.0%
2915400010,13.0%
2915400090,13.0%
2915501000,13.0%
2915509000,13.0%
2915600000,13.0%
2915701000,13.0%
2915709000,13.0%
2915900011,13.0%
2915900012,13.0%
2915900013,13.0%
2915900020,13.0%
2915900090,13.0%
2916110000,13.0%
2916121000,13.0%
2916122000,13.0%
2916123001,13.0%
2916123090,13.0%
2916124000,13.0%
2916129000,13.0%
2916130010,13.0%
2916130090,13.0%
2916140010,13.0%
2916140090,13.0%
2916150000,13.0%
2916160000,13.0%
2916190011,13.0%
2916190012,13.0%
2916190013,13.0%
2916190090,13.0%
2916201000,13.0%
2916209021,13.0%
2916209022,13.0%
2916209023,13.0%
2916209024,13.0%
2916209025,13.0%
2916209026,13.0%
2916209027,13.0%
2916209028,13.0%
2916209090,13.0%
2916310000,13.0%
2916320000,13.0%
2916340010,13.0%
2916340090,13.0%
2916391000,13.0%
2916392000,13.0%
2916393000,13.0%
2916399012,13.0%
2916399013,13.0%
2916399014,13.0%
2916399015,13.0%
2916399016,13.0%
2916399017,13.0%
2916399018,13.0%
2916399090,13.0%
2917111000,13.0%
2917112000,13.0%
2917119000,13.0%
2917120001,13.0%
2917120090,13.0%
2917131000,13.0%
2917139000,13.0%
2917140000,13.0%
2917190010,13.0%
2917190090,13.0%
2917201000,13.0%
2917209010,13.0%
2917209090,13.0%
2917320000,13.0%
2917330000,13.0%
2917341010,13.0%
2917341090,13.0%
2917349000,13.0%
2917350000,13.0%
2917361100,13.0%
2917361900,13.0%
2917369000,13.0%
2917370000,13.0%
2917391000,13.0%
2917399011,13.0%
2917399012,13.0%
2917399013,13.0%
2917399090,13.0%
2918110000,13.0%
2918120000,13.0%
2918130000,13.0%
2918140000,13.0%
2918150000,13.0%
2918160000,13.0%
2918170000,13.0%
2918180000,13.0%
2918190010,13.0%
2918190030,13.0%
2918190041,13.0%
2918190042,13.0%
2918190043,13.0%
2918190044,13.0%
2918190090,13.0%
2918211000,13.0%
2918219000,13.0%
2918221000,13.0%
2918229000,13.0%
2918230000,13.0%
2918290000,13.0%
2918300011,13.0%
2918300012,13.0%
2918300013,13.0%
2918300014,13.0%
2918300015,13.0%
2918300016,13.0%
2918300017,13.0%
2918300018,13.0%
2918300090,13.0%
2918910000,13.0%
2918990021,13.0%
2918990022,13.0%
2918990023,13.0%
2918990024,13.0%
2918990025,13.0%
2918990026,13.0%
2918990027,13.0%
2918990028,13.0%
2918990029,13.0%
2918990030,13.0%
2918990041,13.0%
2918990090,13.0%
2919100000,13.0%
2919900020,13.0%
2919900031,13.0%
2919900032,13.0%
2919900033,13.0%
2919900034,13.0%
2919900035,13.0%
2919900036,13.0%
2919900037,13.0%
2919900090,13.0%
2920110000,13.0%
2920190012,13.0%
2920190013,13.0%
2920190014,13.0%
2920190015,13.0%
2920190017,13.0%
2920190018,13.0%
2920190019,13.0%
2920190090,13.0%
2920210000,13.0%
2920220000,13.0%
2920230000,13.0%
2920240000,13.0%
2920291000,13.0%
2920299010,13.0%
2920299090,13.0%
2920300000,13.0%
2920900011,13.0%
2920900012,13.0%
2920900013,13.0%
2920900014,13.0%
2920900015,13.0%
2920900016,13.0%
2920900020,13.0%
2920900090,13.0%
2921110010,13.0%
2921110020,13.0%
2921110030,13.0%
2921110090,13.0%
2921120000,13.0%
2921130000,13.0%
2921140000,13.0%
2921191000,13.0%
2921192000,13.0%
2921193000,13.0%
2921194000,13.0%
2921195000,13.0%
2921196000,13.0%
2921199011,13.0%
2921199020,13.0%
2921199031,13.0%
2921199033,13.0%
2921199090,13.0%
2921211000,13.0%
2921219000,13.0%
2921221000,13.0%
2921229000,13.0%
2921290010,13.0%
2921290090,13.0%
2921300010,13.0%
2921300030,13.0%
2921300040,13.0%
2921300090,13.0%
2921411000,13.0%
2921419000,13.0%
2921420012,13.0%
2921420013,13.0%
2921420020,13.0%
2921420090,13.0%
2921430001,13.0%
2921430010,13.0%
2921430020,13.0%
2921430031,13.0%
2921430032,13.0%
2921430033,13.0%
2921430034,13.0%
2921430035,13.0%
2921430036,13.0%
2921430037,13.0%
2921430038,13.0%
2921430090,13.0%
2921440000,13.0%
2921450010,13.0%
2921450090,13.0%
2921460011,13.0%
2921460012,13.0%
2921460013,13.0%
2921491000,13.0%
2921492000,13.0%
2921493000,13.0%
2921494000,13.0%
2921499011,13.0%
2921499012,13.0%
2921499013,13.0%
2921499020,13.0%
2921499031,13.0%
2921499032,13.0%
2921499090,13.0%
2921511000,13.0%
2921519011,13.0%
2921519012,13.0%
2921519020,13.0%
2921519090,13.0%
2921590010,13.0%
2921590020,13.0%
2921590031,13.0%
2921590032,13.0%
2921590033,13.0%
2921590090,13.0%
2922110001,13.0%
2922110090,13.0%
2922120001,13.0%
2922120090,13.0%
2922140000,13.0%
2922150000,13.0%
2922160000,13.0%
2922170000,13.0%
2922180000,13.0%
2922191000,13.0%
2922192100,13.0%
2922192210,13.0%
2922192290,13.0%
2922192900,13.0%
2922193000,13.0%
2922194000,13.0%
2922195000,13.0%
2922199010,13.0%
2922199020,13.0%
2922199031,13.0%
2922199032,13.0%
2922199033,13.0%
2922199041,13.0%
2922199049,13.0%
2922199090,13.0%
2922210000,13.0%
2922291000,13.0%
2922299011,13.0%
2922299012,13.0%
2922299013,13.0%
2922299014,13.0%
2922299015,13.0%
2922299016,13.0%
2922299017,13.0%
2922299090,13.0%
2922310010,13.0%
2922310020,13.0%
2922391000,13.0%
2922392000,13.0%
2922399010,13.0%
2922399020,13.0%
2922399030,13.0%
2922399040,13.0%
2922399050,13.0%
2922399090,13.0%
2922411000,13.0%
2922419000,13.0%
2922421000,13.0%
2922422000,13.0%
2922429000,13.0%
2922431000,13.0%
2922439000,13.0%
2922440000,13.0%
2922491100,13.0%
2922491910,13.0%
2922491990,13.0%
2922499100,13.0%
2922499911,13.0%
2922499912,13.0%
2922499913,13.0%
2922499914,13.0%
2922499915,13.0%
2922499916,13.0%
2922499917,13.0%
2922499918,13.0%
2922499919,13.0%
2922499990,13.0%
2922501000,13.0%
2922502000,13.0%
2922509010,13.0%
2922509020,13.0%
2922509091,3.0%
2922509099,13.0%
2923100000,13.0%
2923200000,13.0%
2923300000,13.0%
2923400000,13.0%
2923900011,13.0%
2923900012,13.0%
2923900090,13.0%
2924110000,13.0%
2924120010,13.0%
2924120090,13.0%
2924191000,13.0%
2924199012,13.0%
2924199013,13.0%
2924199014,13.0%
2924199015,13.0%
2924199016,13.0%
2924199018,13.0%
2924199030,13.0%
2924199040,13.0%
2924199090,13.0%
2924210010,13.0%
2924210020,13.0%
2924210090,13.0%
2924230010,13.0%
2924230090,13.0%
2924240000,13.0%
2924250000,13.0%
2924291000,13.0%
2924292000,13.0%
2924293000,13.0%
2924299011,13.0%
2924299012,13.0%
2924299013,13.0%
2924299014,13.0%
2924299015,13.0%
2924299016,13.0%
2924299017,13.0%
2924299018,13.0%
2924299019,13.0%
2924299020,13.0%
2924299031,13.0%
2924299032,13.0%
2924299033,13.0%
2924299034,13.0%
2924299035,13.0%
2924299036,13.0%
2924299037,13.0%
2924299038,13.0%
2924299039,13.0%
2924299040,13.0%
2924299050,13.0%
2924299091,3.0%
2924299099,13.0%
2925110000,13.0%
2925120000,13.0%
2925190010,13.0%
2925190021,13.0%
2925190022,13.0%
2925190023,13.0%
2925190024,13.0%
2925190090,13.0%
2925210000,13.0%
2925290011,13.0%
2925290012,13.0%
2925290013,13.0%
2925290014,13.0%
2925290015,13.0%
2925290016,13.0%
2925290020,13.0%
2925290030,13.0%
2925290090,13.0%
2926100000,13.0%
2926200000,13.0%
2926300010,13.0%
2926300020,13.0%
2926400000,13.0%
2926901000,13.0%
2926902000,13.0%
2926909010,13.0%
2926909020,13.0%
2926909031,13.0%
2926909032,13.0%
2926909033,13.0%
2926909034,13.0%
2926909035,13.0%
2926909036,13.0%
2926909037,13.0%
2926909038,13.0%
2926909039,13.0%
2926909041,13.0%
2926909050,13.0%
2926909060,13.0%
2926909070,13.0%
2926909090,13.0%
2927000010,13.0%
2927000090,13.0%
2928000010,13.0%
2928000020,13.0%
2928000031,13.0%
2928000032,13.0%
2928000033,13.0%
2928000034,13.0%
2928000035,13.0%
2928000036,13.0%
2928000090,13.0%
2929101000,13.0%
2929102000,13.0%
2929103000,13.0%
2929104000,13.0%
2929109000,13.0%
2929901000,13.0%
2929902000,13.0%
2929903000,13.0%
2929904000,13.0%
2929909011,13.0%
2929909012,13.0%
2929909013,13.0%
2929909090,13.0%
2930200011,13.0%
2930200012,13.0%
2930200013,13.0%
2930200014,13.0%
2930200015,13.0%
2930200016,13.0%
2930200090,13.0%
2930300010,13.0%
2930300090,13.0%
2930400000,13.0%
2930600000,13.0%
2930700000,13.0%
2930800010,13.0%
2930800020,13.0%
2930800030,13.0%
2930901000,13.0%
2930902000,13.0%
2930909011,13.0%
2930909013,13.0%
2930909014,13.0%
2930909015,13.0%
2930909016,13.0%
2930909017,13.0%
2930909018,13.0%
2930909019,13.0%
2930909021,13.0%
2930909022,13.0%
2930909023,13.0%
2930909024,13.0%
2930909026,13.0%
2930909027,13.0%
2930909028,13.0%
2930909031,13.0%
2930909032,13.0%
2930909051,13.0%
2930909052,13.0%
2930909053,13.0%
2930909054,13.0%
2930909055,13.0%
2930909056,13.0%
2930909057,13.0%
2930909058,13.0%
2930909059,13.0%
2930909061,13.0%
2930909062,13.0%
2930909063,13.0%
2930909064,13.0%
2930909065,13.0%
2930909066,13.0%
2930909067,13.0%
2930909068,3.0%
2930909091,13.0%
2930909092,3.0%
2930909099,13.0%
2931100000,13.0%
2931200000,13.0%
2931310000,13.0%
2931320000,13.0%
2931330000,13.0%
2931340000,13.0%
2931350000,13.0%
2931360000,13.0%
2931370000,13.0%
2931380000,13.0%
2931391000,13.0%
2931399011,13.0%
2931399012,13.0%
2931399013,13.0%
2931399014,13.0%
2931399015,13.0%
2931399016,13.0%
2931399017,13.0%
2931399018,13.0%
2931399019,13.0%
2931399021,13.0%
2931399022,13.0%
2931399090,13.0%
2931900001,13.0%
2931900011,13.0%
2931900012,13.0%
2931900013,13.0%
2931900014,13.0%
2931900015,13.0%
2931900016,13.0%
2931900017,13.0%
2931900018,13.0%
2931900019,13.0%
2931900021,13.0%
2931900022,13.0%
2931900023,13.0%
2931900024,13.0%
2931900025,13.0%
2931900026,13.0%
2931900027,13.0%
2931900028,13.0%
2931900029,13.0%
2931900031,13.0%
2931900090,13.0%
2932110000,13.0%
2932120000,13.0%
2932130000,13.0%
2932140000,13.0%
2932190011,13.0%
2932190012,13.0%
2932190013,13.0%
2932190014,13.0%
2932190015,13.0%
2932190016,13.0%
2932190020,13.0%
2932190030,13.0%
2932190090,13.0%
2932201000,13.0%
2932209011,13.0%
2932209012,13.0%
2932209013,13.0%
2932209014,13.0%
2932209015,13.0%
2932209016,13.0%
2932209020,13.0%
2932209090,13.0%
2932910000,13.0%
2932920000,13.0%
2932930000,13.0%
2932940000,13.0%
2932950000,13.0%
2932991000,13.0%
2932992000,13.0%
2932993000,13.0%
2932999011,13.0%
2932999012,13.0%
2932999013,13.0%
2932999014,13.0%
2932999015,13.0%
2932999016,13.0%
2932999017,13.0%
2932999021,3.0%
2932999022,13.0%
2932999023,13.0%
2932999024,13.0%
2932999025,13.0%
2932999026,13.0%
2932999027,13.0%
2932999028,13.0%
2932999029,3.0%
2932999031,13.0%
2932999040,13.0%
2932999051,13.0%
2932999052,13.0%
2932999053,13.0%
2932999054,13.0%
2932999060,13.0%
2932999070,13.0%
2932999080,13.0%
2932999091,13.0%
2932999092,13.0%
2932999099,13.0%
2933110000,13.0%
2933192000,13.0%
2933199011,13.0%
2933199012,13.0%
2933199013,13.0%
2933199014,13.0%
2933199015,13.0%
2933199090,13.0%
2933210000,13.0%
2933290011,13.0%
2933290012,13.0%
2933290013,13.0%
2933290014,13.0%
2933290015,13.0%
2933290090,13.0%
2933310010,13.0%
2933310090,13.0%
2933321000,13.0%
2933322000,13.0%
2933330011,13.0%
2933330012,13.0%
2933330013,13.0%
2933330021,13.0%
2933330022,13.0%
2933330031,13.0%
2933330032,13.0%
2933330033,13.0%
2933391000,13.0%
2933392000,13.0%
2933399021,13.0%
2933399022,13.0%
2933399023,13.0%
2933399024,13.0%
2933399025,13.0%
2933399026,13.0%
2933399027,13.0%
2933399028,13.0%
2933399029,13.0%
2933399030,13.0%
2933399040,13.0%
2933399051,13.0%
2933399052,13.0%
2933399053,13.0%
2933399054,13.0%
2933399055,13.0%
2933399056,13.0%
2933399057,13.0%
2933399058,13.0%
2933399060,13.0%
2933399071,13.0%
2933399072,13.0%
2933399073,13.0%
2933399074,13.0%
2933399075,13.0%
2933399076,13.0%
2933399077,13.0%
2933399078,13.0%
2933399080,13.0%
2933399091,3.0%
2933399092,13.0%
2933399093,13.0%
2933399099,13.0%
2933410000,13.0%
2933490011,13.0%
2933490012,13.0%
2933490013,13.0%
2933490014,13.0%
2933490015,13.0%
2933490021,13.0%
2933490022,13.0%
2933490030,13.0%
2933490090,13.0%
2933520000,13.0%
2933530011,13.0%
2933530012,13.0%
2933530013,13.0%
2933530014,13.0%
2933530015,13.0%
2933540000,13.0%
2933550011,13.0%
2933550012,13.0%
2933591000,13.0%
2933592000,13.0%
2933599011,13.0%
2933599012,13.0%
2933599013,13.0%
2933599014,13.0%
2933599015,13.0%
2933599016,13.0%
2933599017,13.0%
2933599018,13.0%
2933599019,13.0%
2933599020,13.0%
2933599030,13.0%
2933599040,13.0%
2933599051,13.0%
2933599052,13.0%
2933599053,13.0%
2933599060,13.0%
2933599091,3.0%
2933599099,13.0%
2933610000,13.0%
2933691000,13.0%
2933692100,13.0%
2933692200,13.0%
2933692910,13.0%
2933692990,13.0%
2933699011,13.0%
2933699012,13.0%
2933699013,13.0%
2933699014,13.0%
2933699015,13.0%
2933699016,13.0%
2933699091,3.0%
2933699099,13.0%
2933710000,13.0%
2933720000,13.0%
2933790010,13.0%
2933790020,13.0%
2933790030,13.0%
2933790042,3.0%
2933790091,3.0%
2933790099,13.0%
2933910011,13.0%
2933910012,13.0%
2933910013,13.0%
2933910014,13.0%
2933910015,13.0%
2933910016,13.0%
2933910017,13.0%
2933910018,13.0%
2933910021,13.0%
2933910022,13.0%
2933920000,13.0%
2933990011,13.0%
2933990012,13.0%
2933990013,13.0%
2933990014,13.0%
2933990015,13.0%
2933990016,13.0%
2933990017,13.0%
2933990018,13.0%
2933990019,13.0%
2933990021,13.0%
2933990022,13.0%
2933990023,13.0%
2933990030,13.0%
2933990040,13.0%
2933990051,13.0%
2933990052,13.0%
2933990053,13.0%
2933990054,13.0%
2933990055,13.0%
2933990056,13.0%
2933990057,13.0%
2933990060,13.0%
2933990070,13.0%
2933990080,13.0%
2933990091,13.0%
2933990092,3.0%
2933990093,13.0%
2933990099,13.0%
2934101000,13.0%
2934109011,13.0%
2934109012,13.0%
2934109013,13.0%
2934109014,13.0%
2934109015,13.0%
2934109016,13.0%
2934109017,13.0%
2934109018,13.0%
2934109019,13.0%
2934109091,3.0%
2934109099,13.0%
2934200011,13.0%
2934200012,13.0%
2934200013,13.0%
2934200014,13.0%
2934200015,13.0%
2934200016,13.0%
2934200017,13.0%
2934200018,13.0%
2934200019,13.0%
2934200021,3.0%
2934200090,13.0%
2934300000,13.0%
2934910011,13.0%
2934910012,13.0%
2934910013,13.0%
2934910014,13.0%
2934910020,13.0%
2934991000,13.0%
2934992000,13.0%
2934993010,13.0%
2934993090,13.0%
2934994000,13.0%
2934995000,13.0%
2934996000,13.0%
2934999001,13.0%
2934999010,13.0%
2934999021,13.0%
2934999022,13.0%
2934999023,13.0%
2934999024,13.0%
2934999025,13.0%
2934999026,13.0%
2934999027,13.0%
2934999028,13.0%
2934999029,13.0%
2934999031,13.0%
2934999032,13.0%
2934999033,13.0%
2934999034,13.0%
2934999035,13.0%
2934999036,13.0%
2934999037,13.0%
2934999038,13.0%
2934999039,13.0%
2934999041,13.0%
2934999042,13.0%
2934999043,13.0%
2934999044,13.0%
2934999045,13.0%
2934999050,13.0%
2934999061,13.0%
2934999062,13.0%
2934999071,13.0%
2934999072,13.0%
2934999073,13.0%
2934999074,13.0%
2934999075,13.0%
2934999091,3.0%
2934999099,13.0%
2935100000,13.0%
2935200000,13.0%
2935300000,13.0%
2935400000,13.0%
2935500000,13.0%
2935900011,13.0%
2935900012,13.0%
2935900013,13.0%
2935900014,13.0%
2935900015,13.0%
2935900016,13.0%
2935900017,13.0%
2935900018,13.0%
2935900019,13.0%
2935900020,13.0%
2935900031,13.0%
2935900032,13.0%
2935900033,13.0%
2935900034,13.0%
2935900035,13.0%
2935900036,3.0%
2935900090,13.0%
2936210000,13.0%
2936220000,13.0%
2936230000,13.0%
2936240000,13.0%
2936250000,13.0%
2936260000,13.0%
2936270010,13.0%
2936270020,13.0%
2936270030,13.0%
2936270090,13.0%
2936280000,13.0%
2936290010,13.0%
2936290090,13.0%
2936901000,13.0%
2936909000,13.0%
2937110010,13.0%
2937110090,13.0%
2937121000,13.0%
2937129000,13.0%
2937190013,13.0%
2937190015,13.0%
2937190016,13.0%
2937190091,3.0%
2937190093,13.0%
2937190099,13.0%
2937210000,13.0%
2937221000,13.0%
2937229000,13.0%
2937231100,13.0%
2937231910,3.0%
2937231990,13.0%
2937239010,13.0%
2937239090,13.0%
2937290011,13.0%
2937290012,13.0%
2937290013,13.0%
2937290014,13.0%
2937290015,13.0%
2937290016,13.0%
2937290017,13.0%
2937290018,13.0%
2937290019,13.0%
2937290021,13.0%
2937290022,13.0%
2937290023,13.0%
2937290024,13.0%
2937290025,13.0%
2937290026,13.0%
2937290027,13.0%
2937290028,13.0%
2937290031,13.0%
2937290032,13.0%
2937290034,13.0%
2937290035,13.0%
2937290091,3.0%
2937290099,13.0%
2937500000,13.0%
2937900010,13.0%
2937900011,13.0%
2937900090,13.0%
2938100000,13.0%
2938901000,13.0%
2938909010,13.0%
2938909020,13.0%
2938909030,13.0%
2938909040,13.0%
2938909090,13.0%
2939110011,13.0%
2939110012,13.0%
2939110013,13.0%
2939110014,13.0%
2939110015,13.0%
2939110016,13.0%
2939110020,13.0%
2939190010,13.0%
2939190021,13.0%
2939190022,13.0%
2939190023,13.0%
2939190024,13.0%
2939190025,13.0%
2939190030,13.0%
2939190040,13.0%
2939190090,13.0%
2939200000,13.0%
2939300010,13.0%
2939300090,13.0%
2939410010,13.0%
2939410020,13.0%
2939410030,13.0%
2939410040,13.0%
2939410090,13.0%
2939420010,13.0%
2939420020,13.0%
2939420090,13.0%
2939430000,13.0%
2939440000,13.0%
2939490010,13.0%
2939490020,13.0%
2939490090,13.0%
2939510000,13.0%
2939590000,13.0%
2939610010,13.0%
2939610090,13.0%
2939620010,13.0%
2939620090,13.0%
2939630010,13.0%
2939630090,13.0%
2939690010,13.0%
2939690090,13.0%
2939711000,13.0%
2939719011,13.0%
2939719012,13.0%
2939719013,13.0%
2939719014,13.0%
2939719020,13.0%
2939791010,13.0%
2939791090,13.0%
2939792010,13.0%
2939792090,13.0%
2939799011,13.0%
2939799012,13.0%
2939799091,3.0%
2939799099,13.0%
2939800000,13.0%
2940001000,13.0%
2940009000,13.0%
2941101100,13.0%
2941101200,13.0%
2941101900,13.0%
2941109100,13.0%
2941109200,13.0%
2941109300,13.0%
2941109400,13.0%
2941109500,13.0%
2941109600,13.0%
2941109900,13.0%
2941200011,13.0%
2941200090,13.0%
2941301100,13.0%
2941301200,13.0%
2941302000,13.0%
2941400000,13.0%
2941500000,13.0%
2941901000,13.0%
2941902000,13.0%
2941903000,13.0%
2941904000,13.0%
2941905200,13.0%
2941905300,13.0%
2941905400,13.0%
2941905500,13.0%
2941905600,13.0%
2941905700,13.0%
2941905800,13.0%
2941905910,13.0%
2941905990,13.0%
2941906000,13.0%
2941907000,13.0%
2941909011,13.0%
2941909012,13.0%
2941909013,13.0%
2941909014,13.0%
2941909091,3.0%
2941909099,13.0%
2942000000,13.0%
3001200010,13.0%
3001200021,13.0%
3001200029,13.0%
3001200090,13.0%
3001901000,13.0%
3001909010,13.0%
3001909020,13.0%
3001909091,13.0%
3001909092,13.0%
3001909099,13.0%
3002110000,13.0%
3002120011,13.0%
3002120012,13.0%
3002120013,13.0%
3002120014,13.0%
3002120015,13.0%
3002120016,13.0%
3002120017,13.0%
3002120018,13.0%
3002120019,13.0%
3002120021,13.0%
3002120022,13.0%
3002120023,13.0%
3002120091,3.0%
3002120092,3.0%
3002120099,13.0%
3002130000,13.0%
3002140000,13.0%
3002150010,3.0%
3002150020,3.0%
3002150090,13.0%
3002190010,3.0%
3002190090,13.0%
3002200000,13.0%
3002300000,13.0%
3002901000,13.0%
3002902000,13.0%
3002903010,13.0%
3002903020,13.0%
3002903030,13.0%
3002903090,13.0%
3002904010,13.0%
3002904090,13.0%
3002909011,13.0%
3002909019,13.0%
3002909021,13.0%
3002909022,13.0%
3002909023,13.0%
3002909024,13.0%
3002909091,13.0%
3002909092,13.0%
3002909099,13.0%
3003101100,13.0%
3003101200,13.0%
3003101300,13.0%
3003101900,13.0%
3003109000,13.0%
3003201100,13.0%
3003201200,13.0%
3003201300,13.0%
3003201400,13.0%
3003201500,13.0%
3003201600,13.0%
3003201700,13.0%
3003201800,13.0%
3003201900,13.0%
3003209000,13.0%
3003310000,13.0%
3003390000,13.0%
3003410000,13.0%
3003420000,13.0%
3003430000,13.0%
3003490010,13.0%
3003490090,13.0%
3003601000,13.0%
3003609010,13.0%
3003609020,13.0%
3003609090,13.0%
3003900010,13.0%
3003900020,13.0%
3003900030,13.0%
3003900090,13.0%
3004101110,13.0%
3004101190,13.0%
3004101200,13.0%
3004101300,13.0%
3004101900,13.0%
3004109010,3.0%
3004109090,13.0%
3004201100,13.0%
3004201200,13.0%
3004201300,13.0%
3004201400,13.0%
3004201500,13.0%
3004201600,13.0%
3004201700,13.0%
3004201800,13.0%
3004201911,13.0%
3004201912,13.0%
3004201990,13.0%
3004209011,13.0%
3004209012,13.0%
3004209013,13.0%
3004209091,3.0%
3004209099,13.0%
3004311010,13.0%
3004311090,13.0%
3004319010,13.0%
3004319090,13.0%
3004320011,13.0%
3004320012,13.0%
3004320013,13.0%
3004320014,13.0%
3004320015,13.0%
3004320016,13.0%
3004320017,13.0%
3004320018,13.0%
3004320019,13.0%
3004320021,13.0%
3004320022,13.0%
3004320023,13.0%
3004320024,13.0%
3004320025,13.0%
3004320026,13.0%
3004320028,13.0%
3004320029,13.0%
3004320031,13.0%
3004320032,13.0%
3004320033,13.0%
3004320034,13.0%
3004320035,13.0%
3004320036,13.0%
3004320037,13.0%
3004320038,13.0%
3004320039,13.0%
3004320041,13.0%
3004320042,13.0%
3004320043,13.0%
3004320044,13.0%
3004320045,13.0%
3004320046,13.0%
3004320047,13.0%
3004320048,13.0%
3004320049,13.0%
3004320051,13.0%
3004320052,13.0%
3004320053,13.0%
3004320054,13.0%
3004320060,13.0%
3004320071,13.0%
3004320072,13.0%
3004320074,13.0%
3004320075,13.0%
3004320076,13.0%
3004320077,13.0%
3004320078,13.0%
3004320091,3.0%
3004320099,13.0%
3004390011,13.0%
3004390025,13.0%
3004390026,13.0%
3004390027,13.0%
3004390028,13.0%
3004390030,13.0%
3004390091,3.0%
3004390092,13.0%
3004390093,13.0%
3004390094,3.0%
3004390099,13.0%
3004410010,13.0%
3004410020,13.0%
3004410090,13.0%
3004420010,13.0%
3004420020,13.0%
3004420090,13.0%
3004430010,13.0%
3004430090,13.0%
3004490010,13.0%
3004490020,13.0%
3004490031,13.0%
3004490039,13.0%
3004490040,13.0%
3004490050,13.0%
3004490061,13.0%
3004490062,13.0%
3004490063,13.0%
3004490070,13.0%
3004490091,3.0%
3004490092,13.0%
3004490099,13.0%
3004500000,13.0%
3004601000,13.0%
3004609010,13.0%
3004609021,13.0%
3004609029,13.0%
3004609030,13.0%
3004609090,13.0%
3004901000,13.0%
3004902000,13.0%
3004905110,13.0%
3004905190,13.0%
3004905200,13.0%
3004905310,13.0%
3004905390,13.0%
3004905400,13.0%
3004905510,13.0%
3004905590,13.0%
3004905910,13.0%
3004905990,13.0%
3004909010,13.0%
3004909020,3.0%
3004909030,13.0%
3004909041,13.0%
3004909049,13.0%
3004909050,13.0%
3004909060,13.0%
3004909071,13.0%
3004909072,13.0%
3004909073,13.0%
3004909074,13.0%
3004909075,13.0%
3004909077,13.0%
3004909078,13.0%
3004909079,13.0%
3004909081,13.0%
3004909082,13.0%
3004909083,13.0%
3004909091,13.0%
3004909092,13.0%
3004909093,3.0%
3004909094,13.0%
3004909095,13.0%
3004909096,13.0%
3004909097,3.0%
3004909099,13.0%
3005101000,13.0%
3005109000,13.0%
3005901000,13.0%
3005909000,13.0%
3006100000,13.0%
3006200000,13.0%
3006300000,13.0%
3006400000,13.0%
3006500000,13.0%
3006601000,0.0%
3006609000,0.0%
3006700000,13.0%
3006910000,13.0%
3006920000,13.0%
3101001100,9.0%
3101001910,9.0%
3101001990,9.0%
3101009010,9.0%
3101009020,9.0%
3101009090,9.0%
3102100010,9.0%
3102100090,9.0%
3102210000,9.0%
3102290000,9.0%
3102300000,9.0%
3102400000,9.0%
3102500000,9.0%
3102600000,9.0%
3102800000,9.0%
3102901000,9.0%
3102909000,9.0%
3103111000,9.0%
3103119000,9.0%
3103190000,9.0%
3103900000,9.0%
3104202000,9.0%
3104209000,9.0%
3104300000,9.0%
3104901000,9.0%
3104909000,9.0%
3105100010,9.0%
3105100090,9.0%
3105200010,9.0%
3105200090,9.0%
3105300010,9.0%
3105300090,9.0%
3105400000,9.0%
3105510000,9.0%
3105590000,9.0%
3105600000,9.0%
3105901000,9.0%
3105909000,9.0%
3201100000,13.0%
3201200000,13.0%
3201901010,13.0%
3201901090,13.0%
3201909000,13.0%
3202100000,13.0%
3202900010,13.0%
3202900090,13.0%
3203001100,13.0%
3203001910,13.0%
3203001990,13.0%
3203002000,13.0%
3204110000,13.0%
3204120000,13.0%
3204130000,13.0%
3204140000,13.0%
3204151000,13.0%
3204159000,13.0%
3204160000,13.0%
3204170010,13.0%
3204170090,13.0%
3204191100,13.0%
3204191900,13.0%
3204199000,13.0%
3204200000,13.0%
3204901000,13.0%
3204902000,13.0%
3204909000,13.0%
3205000000,13.0%
3206111000,13.0%
3206119000,13.0%
3206190000,13.0%
3206200000,13.0%
3206410000,13.0%
3206421000,13.0%
3206429000,13.0%
3206491100,13.0%
3206491900,13.0%
3206499000,13.0%
3206500000,13.0%
3207100000,13.0%
3207200000,13.0%
3207300000,13.0%
3207400000,13.0%
3208100010,13.0%
3208100090,13.0%
3208201011,13.0%
3208201019,13.0%
3208201091,13.0%
3208201099,13.0%
3208202010,13.0%
3208202090,13.0%
3208901011,13.0%
3208901019,13.0%
3208901091,13.0%
3208901099,13.0%
3208909010,13.0%
3208909090,13.0%
3209100010,13.0%
3209100090,13.0%
3209901010,13.0%
3209901090,13.0%
3209902010,13.0%
3209902090,13.0%
3209909010,13.0%
3209909090,13.0%
3210000011,13.0%
3210000019,13.0%
3210000091,13.0%
3210000099,13.0%
3211000000,13.0%
3212100000,13.0%
3212900000,13.0%
3213100000,13.0%
3213900000,13.0%
3214101000,13.0%
3214109000,13.0%
3214900010,13.0%
3214900090,13.0%
3215110010,13.0%
3215110090,13.0%
3215190010,13.0%
3215190090,13.0%
3215901000,13.0%
3215902000,13.0%
3215909000,13.0%
3301120000,13.0%
3301130000,13.0%
3301191000,13.0%
3301199000,13.0%
3301240000,13.0%
3301250000,13.0%
3301291000,13.0%
3301292000,13.0%
3301293000,13.0%
3301294000,13.0%
3301295000,13.0%
