HS_CODE,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),Unnamed: 5,General_Tariff_Rate
,,2,PK,,,
,,6,"AS ,RAU ,RKR , NZ",,,
,,6.4,JP,,,
,,8,"NI,RS",,,
"""3206.2000""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,4.1,JP,,,
"""3206.4100""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,4.1,JP,,,
"""3206.4210""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"NI,RS,MV,HK,MO",,,
,,3.9,EC,,,
,,4.1,JP,,,
"""3206.4290""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.9,KR,,,
,,4.1,RJP,,,
"""3206.4911""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,3.3,AP,,,
,,3.9,"AS , AU R , KR R , NZ",,,
,,4.1,JP,,,
"""3206.4919""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,3.3,AP,,,
,,3.9,"AS , AU R , KR R , NZ",,,
,,4.1,JP,,,
"""3206.4990""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,3.3,AP,,,
,,3.9,"AS R , AU , KR R , NZ",,,
,,4.1,JP,,,
"""3206.5000""",6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,35
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU , NZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,3.9,KR,,,
,,4,PK,,,
,,4.1,JP,,,
,,4.2,AP,,,
"""32.07""",,,,,,
"""3207.1000""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,RKR,,,
,,3.2,JP,,,
"""3207.2000""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.3,KR,,,
,,3,"AS R , AU R , KR R , NZ",,,
,,3.8,JP,,,
"""3207.3000""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""3207.4000""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""32.08""",,,,,,
"""3208.1000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO,TW",,,
,,2,PK,,,
,,4.5,KR,,,
,,6,RS,,,
,,8,"AS R , AU R , KR R , NZ ,",,,
,,,NI,,,
,,8.1,JP,,,
,,9,AP,,,
"""3208.2010""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO,TW",,,
,,4,PK,,,
,,4.5,KR,,,
,,6,RS,,,
,,8,"AS , AU R , KR R , NZ ,",,,
,,,"NI,EC",,,
,,8.1,JP,,,
,,9,AP,,,
"""3208.2020""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"IS,KR,AU, RGE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,8.8,EC,,,
,,9,AP,,,
"""3208.9010""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,MV,HK,MO",,,
,,2,PK,,,
,,6,"AS R , AU R , KR R , NZ ,",,,
,,RS,,,,
,,6.4,JP,,,
,,8,NI,,,
,,8.8,EC,,,
,,9,AP,,,
"""3208.9090""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,4.5,KR,,,
,,6,RS,,,
,,8,"AS R , AU R , KR ,RNZ ,",,,
,,NI,,,,
,,8.1,RJP,,,
,,8.8,EC,,,
,,9,AP,,,
"""32.09""",,,,,,
"""3209.1000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,6.5,AP,,,
,,8,NI,,,
,,8.8,EC,,,
"""3209.9010""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO,TW",,,
,,2,PK,,,
,,4.5,KR,,,
,,6,RS,,,
,,8,"AS , AU R , NZ ,NI",,,
"""3209.9020""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,EC,MV,HK,MO",,,
,,2,PK,,,
,,6,"AS ,RAU R , KR ,RNZ ,",,,
,,RS,,,,
,,6.4,JP,,,
,,8,NI,,,
"""3209.9090""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO,TW",,,
,,2,PK,,,
,,4.5,KR,,,
,,6,RS,,,
,,8,"RAS , AU R , NZ ,NI",,,
,,8.8,EC,,,
"""32.1""",,,,,,
"""3210.0000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,EC,MV,HK,MO,TW",,,
,,4,PK,,,
,,6,"AS R , AU R , KR , NZ ,",,,
,,RS,,,,
,,6.4,JP,,,
,,6.5,AP,,,
,,8,NI,,,
"""32.11""",,,,,,
"""3211.0000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,2.6,KR,,,
,,6,RS,,,
,,7.3,"AS R , KR",,,
,,7.5,RJP,,,
,,8,"AU R , NZ ,NI",,,
,,8.8,EC,,,
"""32.12""",,,,,,
"""3212.1000""",15,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,MV,HK,MO",,,
,,9,"AS R , AU , KR R , NZ",,,
,,9.5,JP,,,
,,12,PK,,,
,,13,"NI,RS",,,
"""3212.9000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,MV,HK,MO",,,
,,2,PK,,,
,,6,"AS R , AU , KR R , NZ ,",,,
,,RS,,,,
,,6.4,JP,,,
,,8,NI,,,
,,8.8,EC,,,
"""32.13""",,,,,,
,,,,,,
"""3213.1000""",6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""3213.9000""",6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"RIS,  KR,  AU,GE,MU, AS ,",,,
,,,"RAU , NZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,4.2,AP,,,
,,6,KR,,,
,,6.4,JP,,,
"""32.14""",,,,,,
"""3214.1010""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,AU,GE,MU,KH,MV,",,,
,,,"HK,MO",,,
,,5,"AS R , AU , NZ",,,
,,5.4,RS,,,
,,7.2,NI,,,
,,7.8,EC,,,
"""3214.1090""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.4,"AS R , AU , KR R , NZ ,",,,
,,RS,,,,
,,5.7,JP,,,
,,7.2,"NI,EC",,,
"""3214.9000""",9,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,MO,,,
,,2.4,KR,,,
,,4,PK,,,
,,5.4,RS,,,
,,6.6,"AS R , KR",,,
,,6.8,JP,,,
,,7.2,"AU R , NZ ,NI",,,
,,7.9,EC,,,
"""32.15""",,,,,,
"""3215.1100""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,3.9,"AS R , AU R , KR R , NZ",,,
,,4.1,RJP,,,
,,4.2,AP,,,
"""3215.1900""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.9,KR,,,
,,4.6,AP,,,
,,4.9,JP,,,
"""3215.9010""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,4.1,JP,,,
"""3215.9020""",10,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,EC,MV,HK,MO",,,
,,2,PK,,,
,,6,"AS R , AU R , KR ,RNZ",,,
,,6.4,JP,,,
,,8,"NI,RS",,,
"""3215.9090""",10,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,MV,HK,MO",,,
,,2,PK,,,
,,6,"AS R , AU R , KR R , NZ",,,
,,6.4,JP,,,
,,8,"NI,RS",,,
,,8.8,EC,,,
"""33.01""",,,,,,
"""3301.1200""",20?10,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS R , AU R , KR R , NZ",,,
,,15,JP,,,
,,17.3,"NI,RS",,,
"""3301.1300""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,14.7,"AS ,RKR",,,
,,15,JP,,,
,,16,"AU R , NZ",,,
,,17.3,"NI,RS",,,
"""3301.1910""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS R , AU R , KR R , NZ",,,
,,15,JP,,,
,,17.3,"NI,RS",,,
"""3301.1990""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,14.7,"AS R , KR",,,
,,15,JP,,,
,,16,"RAU , NZ",,,
,,17.3,"NI,RS",,,
"""3301.2400""",20?10,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,14.7,"AS R , KR",,,
,,15,JP,,,
,,16,"AU R , NZ",,,
,,17.3,"NI,RS",,,
"""3301.2500""",15?5,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,9,KR,,,
,,9.5,JP,,,
,,12,PK,,,
,,13,NI,,,
,,14,AP,,,
"""3301.2910""",20,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS R , AU R , KR R , NZ",,,
,,15,JP,,,
,,17.3,NI,,,
"""3301.2920""",15,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,EC,",,,
,,,"MV,HK,MO",,,
,,9,KR,,,
,,9.5,JP,,,
,,12,PK,,,
,,13,"NI,RS",,,
"""3301.2930""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS , AU R , KR ,RNZ",,,
,,15,JP,,,
,,17.3,NI,,,
"""3301.2940""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS , AU R , KR R , NZ",,,
,,15,JP,,,
,,17.3,NI,,,
"""3301.2950""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS R , AU R , KR , NZ",,,
,,15,JP,,,
,,17.3,NI,,,
"""3301.2960""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS R , AU R , KR , NZ",,,
,,15,JP,,,
,,17.3,NI,,,
,,18,EC,,,
"""3301.2991""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS , AU ,RKR ,RNZ",,,
,,15,JP,,,
,,17.3,NI,,,
"""3301.2999""",15,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,4,KR,,,
,,9,"RAS , KR",,,
,,9.5,RJP,,,
,,12,"PK, AU R , NZ",,,
,,13,NI,,,
,,13.5,EC,,,
"""3301.3010""",20?10,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS R , AU R , KR R , NZ",,,
,,15,JP,,,
,,17.3,NI,,,
"""3301.3090""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"RAS R , AU , KR R , NZ",,,
,,15,JP,,,
,,17.3,NI,,,
"""3301.9010""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,13,AP,,,
,,14.7,"AS R , KR",,,
,,15,JP,,,
,,16,"AU R , NZ",,,
,,17.3,NI,,,
,,18,PK,,,
"""3301.9020""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS R , AU , KR R , NZ",,,
,,13,AP,,,
,,15,JP,,,
,,17.3,NI,,,
,,18,PK,,,
"""3301.9090""",20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,13,AP,,,
,,14.7,"AS R , KR",,,
,,15,JP,,,
,,16,"AU R , NZ",,,
,,17.3,NI,,,
,,18,PK,,,
"""33.02""",,,,,,
"""3302.1010""",15,0,"AS,CL,PK,NZ,SG,",0,LD,90
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU, AS , AU R , NZ ,KH,",,,
,,,"MV,HK,MO",,,
,,9,KR,,,
,,9.5,JP,,,
,,9.8,AP,,,
,,13,NI,,,
,,13.5,EC,,,
"""3302.1090""",15,0,"AS,CL,PK,NZ,SG,",0,LD,130
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS R , AU , NZ ,KH,",,,
,,,"MV,HK,MO",,,
,,9,KR,,,
,,9.5,JP,,,
,,13,NI,,,
,,13.5,EC,,,
"""3302.9000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,130
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,EC,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
"""33.03""",,,,,,
"""3303.0000""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,"AP,PK",,,
,,3,"AS R , AU R , NZ",,,
"""33.04""",,,,,,
"""3304.1000""",5,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,5,"AS R , AU R , NZ",,,
"""3304.2000""",5,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,5,"AS , AU R , NZ",,,
"""3304.3000""",5,0,"AS,CL,PK,NZ,SG,",0,LD,150
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,5,"RAS R , AU , NZ",,,
"""3304.9100""",5,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,MV,HK,MO",,,
,,2,PK,,,
,,3,RS,,,
,,5,"AS R , AU R , NZ",,,
"""3304.9900""",1,0,"AS,CL,PK,NZ,SG,",0,LD,150
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,5.2,"KR, AS R , AU , NZ",,,
"""33.05""",,,,,,
"""3305.1000""",3,0,"AS,CL,PK,NZ,SG,",0,LD,150
,,,"PE,CR,CH,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,AP,,,
,,3,"AS R , AU , NZ",,,
,,4.2,KR,,,
"""3305.2000""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,3,"AS R , AU R , NZ",,,
,,12,PK,,,
"""3305.3000""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,3,"RAS ,RAU ,RNZ",,,
,,12,PK,,,
"""3305.9000""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,AP,,,
,,3,"RAS ,RAU ,RNZ",,,
,,4,PK,,,
,,6.5,KR,,,
"""33.06""",,,,,,
,,,,,,
"""3306.1010""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,"AP,PK",,,
,,6,KR,,,
,,6.4,JP,,,
"""3306.1090""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,"AP,PK",,,
,,6,RKR,,,
,,6.4,JP,,,
"""3306.2000""",3,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU , NZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,2,"AP,PK",,,
,,6,KR,,,
,,6.4,RJP,,,
"""3306.9010""",3,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6,RKR,,,
,,6.4,JP,,,
"""3306.9090""",3,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""33.07""",,,,,,
"""3307.1000""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,"AP,PK",,,
,,3,"AS R , AU R , NZ",,,
"""3307.2000""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,"AP,PK",,,
,,3,"AS , AU ,RNZ",,,
"""3307.3000""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,"AP,PK",,,
,,3,"AS ,RAU , NZ",,,
,,6.5,KR,,,
"""3307.4100""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""3307.4900""",3,0,"AS,CL,NZ,SG,PE,",0,LD,150
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""3307.9000""",3,0,"AS,CL,NZ,PE,CR,CH,",0,LD,150
,,,"IS,AU,GE,MU,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,2,AP,,,
,,3,"AS , AU R , NZ",,,
,,4,PK,,,
,,5.8,KR,,,
"""34.01""",,,,,,
"""3401.1100""",6.5,0,"AS,CL,PK,NZ,SG,",0,"LD,",130
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, ASR , AU ,RNZ ,KH,",,AP,
,,,"NI,EC,MV,HK,MO",,,
,,3.9,RS,,,
,,4.2,AP,,,
,,6,KR,,,
,,6.4,JP,,,
"""3401.1910""",6.5,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6.5,"AS R , AU , NZ",,,
"""3401.1990""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,130
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,MV,HK,MO",,,
,,3.9,RS,,,
,,9,KR,,,
,,9.5,JP,,,
"""3401.2000""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",130
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,MV,HK,MO",,AP,
,,3.9,RS,,,
,,4.2,AP,,,
,,9,"AS R , AU R , KR R , NZ",,,
,,9.5,JP,,,
"""3401.3000""",6.5,0,"AS,CL,NZ,SG,PE,",0,LD,130
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"AS R , AU ,RNZ ,KH,NI,",,,
,,,"EC,MV,HK,MO",,,
,,2,PK,,,
,,3.9,RS,,,
,,6,KR,,,
,,6.4,JP,,,
"""34.02""",,,,,,
"""3402.3100""",6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,"IS,AU,GE,MU,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,4,PK,,,
,,4.2,"AP,KR",,,
,,5,"AS R , AU R , NZ",,,
"""3402.3900""",6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,"IS,AU,GE,MU,KH,NI,EC,",,,
,,,"MV,HK,MO",,,
,,4,PK,,,
,,4.2,"AP,KR",,,
,,5,"AS , AU R , NZ",,,
,,5.2,RS,,,
,,,,,,
"""3402.4100""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.2,"AP,KR",,,
,,5,"AS R , AU , NZ",,,
"""3402.4200""",6.5,0,"AS,CL,PK,NZ,SG,",0,LD,30
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,1.7,KR,,,
,,3.9,"AS ,RAU , KR R , NZ",,,
,,4.2,AP,,,
,,4.9,JP,,,
"""3402.4900""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.2,"AP,KR",,,
,,5,"AS R , AU , NZ",,,
"""3402.5010""",6.5,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,4.2,AP,,,
,,6.5,"KR, AS , AU R , NZ",,,
"""3402.5090""",6.5,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,MV,HK,MO",,,
,,2,PK,,,
,,4.2,AP,,,
,,5.2,RS,,,
,,6.5,"KR, AS , AU ,RNZ",,,
"""3402.9000""",6.5,0,"AS,CL,PK,NZ,SG,",0,LD,80
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS R , AU R , KR ,",,,
,,,"RNZ ,KH,NI,EC,MV,HK,",,,
,,,MO,,,
,,3.9,RS,,,
,,4.2,AP,,,
,,5.7,RJP,,,
"""34.03""",,,,,,
