Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,,,Other:,,
0709.91.00,00G,kg,Globe artichokes,Free,Free
0709.92.00,00A,kg,Olives,Free,Free
0709.93.00,,,"Pumpkins, squash and gourds (Cucurbita spp.)",Free,Free
,10C,kg,Squash,,
,15D,kg,Gourds,,
,19G,kg,Other,,
0709.99.00,,,Other,Free,Free
,10L,kg,Capers,,
,15A,kg,Sweet corn,,
,19D,kg,Other,,
7.1,,,"Vegetables (uncooked or cooked by steaming or boiling in water),",,
,,,frozen:,,
0710.10.00,00G,kg,Potatoes,Free,Free
,,,"Leguminous vegetables, shelled or unshelled:",,
0710.21.00,,,Peas (Pisum sativum),Free,Free
,01C,kg,Uncooked,,
,09J,kg,Other,,
0710.22.00,,,"Beans (Vigna spp., Phaseolus spp.)",Free,Free
,,,Green beans:,,
,01H,kg,Uncooked,,
,09C,kg,Other,,
,11E,kg,Broad beans,,
,19L,kg,Other,,
0710.29.00,00A,kg,Other,Free,Free
0710.30.00,00D,kg,"Spinach, New Zealand spinach and orache spinach (garden spinach)",Free,Free
0710.40.00,00H,kg,Sweet corn,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
0710.80.00,,,Other vegetables,Free,Free
,01L,kg,Carrots,,
,09F,kg,Asparagus,,
,19C,kg,Other,,
0710.90.00,,,Mixtures of vegetables,Free,Free
,01D,kg,Peas,,
,09K,kg,Beans,,
,19G,kg,Other,,
7.11,,,"Vegetables provisionally preserved, but unsuitable in that state for",,
,,,immediate consumption:,,
0711.20.00,00J,kg,Olives,5,Free
,,,,,*See Below
0711.40.00,00F,kg,Cucumbers and gherkins,5,Free
,,,,,*See Below
,,,,,RCEP 5
,,,,,1/2025 5
,,,Mushrooms and truffles:,,
0711.51.00,00D,kg,Mushrooms of the genus Agaricus,5,Free
,,,,,*See Below
0711.59.00,,,Other,5,Free
,,,,,*See Below
,10H,kg,Mushrooms,,
,20E,kg,Truffles,,
0711.90.00,,,Other vegetables; mixtures of vegetables,5,Free
,,,,,*See Below
,,,,,RCEP 5
,,,,,1/2025 5
,10A,kg,Beans,,
,20J,kg,Peas,,
,30F,kg,Tomatoes,,
,40C,kg,Onions,,
,50L,kg,Capers,,
,90K,kg,Other,,
7.12,,,"Dried vegetables, whole, cut, sliced, broken or in powder, but not",,
,,,further prepared:,,
0712.20.00,00G,kg,Onions,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
,,,"Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.)",,
,,,and truffles:,,
0712.31.00,00E,kg,Mushrooms of the genus Agaricus,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0712.32.00,00K,kg,Woodears (Auricularia spp.),5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0712.33.00,00D,kg,Jelly fungi (Tremella spp.),5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0712.34.00,00J,kg,Shiitake (Lentinus edodes),5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
712.39,,,Other:,,
0712.39.11,00C,kg,Truffles,Free,Free
0712.39.19,10A,kg,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
712.9,,,Other vegetables; mixtures of vegetables:,,
0712.90.01,00J,kg,Corn,Free,Free
0712.90.09,00K,kg,"Herbs, including mixtures",Free,Free
0712.90.19,,,Other,Free,Free
,01C,kg,Potatoes whether or not cut or sliced but not further prepared,,
,09J,kg,Other,,
7.13,,,"Dried leguminous vegetables, shelled, whether or not skinned or split:",,
713.1,,,Peas (Pisum sativum):,,
0713.10.01,00H,kg,Split,Free,Free
0713.10.08,,,Other,Free,Free
,,,For sowing:,,
,01L,kg,Packed for retail sale,,
,09F,kg,Other,,
,,,Other:,,
,11H,kg,Artificially dried or dehydrated,,
,19C,kg,Other,,
713.2,,,Chickpeas (garbanzos):,,
0713.20.01,00A,kg,Split,Free,Free
0713.20.08,,,Other,Free,Free
,,,For sowing:,,
,01D,kg,Packed for retail sale,,
,09K,kg,Other,,
,,,Other:,,
,11A,kg,Artificially dried or dehydrated,,
,19G,kg,Other,,
,,,"Beans (Vigna spp., Phaseolus spp.):",,
0713.31.00,,,Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.),,
,,,Wilczek,Free,Free
,,,For sowing:,,
,01A,kg,Packed for retail sale,,
,09G,kg,Other,,
,,,Other:,,
,11J,kg,Artificially dried or dehydrated,,
,19D,kg,Other,,
,,,"Dried leguminous vegetables, shelled, whether, etc.continued",,
,,,"Beans (Vigna spp., Phaseolus spp.)continued",,
0713.32.00,,,Small red (Adzuki) beans (Phaseolus or Vigna angularis),Free,Free
,,,For sowing:,,
,01F,kg,Packed for retail sale,,
,09A,kg,Other,,
,,,Other:,,
,11C,kg,Artificially dried or dehydrated,,
,19J,kg,Other,,
