Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
9.09,,,"Seeds of anise, badian, fennel, coriander, cumin or caraway;",,
,,,juniper berries:,,
,,,Seeds of coriander:,,
0909.21.00,00D,kg,Neither crushed nor ground,Free,Free
0909.22.00,00J,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,Seeds of cumin:,,
0909.31.00,00H,kg,Neither crushed nor ground,Free,Free
0909.32.00,00B,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 5
,,,,,1/2025 5
,,,"Seeds of anise, badian, caraway or fennel; juniper berries:",,
0909.61.00,,,Neither crushed nor ground,Free,Free
,10F,kg,Seeds of anise or badian,,
,15G,kg,Seeds of caraway,,
,19K,kg,Seeds of fennel; juniper berries,,
0909.62.00,,,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,10L,kg,Seeds of anise or badian,,
,15A,kg,Seeds of caraway,,
,19D,kg,Seeds of fennel; juniper berries,,
9.1,,,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and",,
,,,other spices:,,
,,,Ginger:,,
0910.11.00,,,Neither crushed nor ground,Free,Free
,10A,kg,Green,,
,19E,kg,Dry,,
0910.12.00,00J,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0910.20.00,00C,.,Saffron,Free,Free
910.3,,,Turmeric (curcuma):,,
0910.30.01,00C,.,Neither crushed nor ground,Free,Free
0910.30.09,00D,.,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, etc.continued",,
,,,Other spices:,,
910.91,,,Mixtures referred to in Note 1 (b) to this Chapter:,,
0910.91.01,00K,.,Neither crushed nor ground,Free,Free
0910.91.09,00L,.,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
910.99,,,Other:,,
0910.99.10,00E,.,Curry,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 5
,,,,,1/2025 5
0910.99.15,,,"Other, neither crushed nor ground",Free,Free
,10D,.,Thyme; bay leaves,,
,15E,.,Other,,
0910.99.19,,,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,10K,.,Thyme; bay leaves,,
,15L,.,Other,,
10.01,,,Wheat and meslin:,,
,,,Durum wheat:,,
1001.11.00,00C,kg,Seed,Free,Free
1001.19.00,00K,kg,Other,Free,Free
,,,Other:,,
1001.91.00,00B,kg,Seed,Free,Free
1001.99.00,00J,kg,Other,Free,Free
10.02,,,Rye:,,
1002.10.00,00G,kg,Seed,Free,Free
1002.90.00,00F,kg,Other,Free,Free
10.03,,,Barley:,,
1003.10.00,00E,kg,Seed,Free,Free
1003.90.00,00D,kg,Other,Free,Free
10.04,,,Oats:,,
1004.10.00,00C,kg,Seed,Free,Free
1004.90.00,00B,kg,Other,Free,Free
10.05,,,Maize (corn):,,
1005.10.00,00A,kg,Seed,Free,Free
1005.90.00,00L,kg,Other,Free,Free
10.06,,,Rice:,,
1006.10.00,00K,kg,Rice in the husk (paddy or rough),Free,Free
1006.20.00,00C,kg,Husked (brown) rice,Free,Free
1006.30.00,00G,kg,"Semi-milled or wholly milled rice, whether or not polished or glazed",Free,Free
1006.40.00,00L,kg,Broken rice,Free,Free
10.07,,,Grain sorghum:,,
1007.10.00,00H,kg,Seed,Free,Free
1007.90.00,00G,kg,Other,Free,Free
10.08,,,"Buckwheat, millet and canary seeds; other cereals:",,
1008.10.00,00F,kg,Buckwheat,Free,Free
,,,Millet:,,
1008.21.00,00D,kg,Seed,Free,Free
1008.29.00,00L,kg,Other,Free,Free
1008.30.00,10L,kg,Canary seeds,Free,Free
1008.40.00,00G,kg,Fonio (Digitaria spp.),Free,Free
1008.50.00,00L,kg,Quinoa (Chenopodium quinoa),Free,Free
1008.60.00,00D,kg,Triticale,Free,Free
1008.90.00,10B,kg,Other cereals,Free,Free
11.01,,,,,
1101.00.00,00A,kg,Wheat or meslin flour,5,Free
,,,,,*See Below
,,,,,CA 2.5
,,,,,RCEP 5
,,,,,1/2025 5
11.02,,,Cereal flours other than of wheat or meslin:,,
1102.20.00,00G,kg,Maize (corn) flour,5,Free
,,,,,*See Below
,,,,,CA 2.5
,,,,,LDC 4
1102.9,,,Other:,,
1102.90.01,00J,kg,Rice flour,Free,Free
1102.90.10,,,Other,5,Free
,,,,,*See Below
,,,,,CA 2.5
,,,,,LDC 4
,,,,,RCEP 5
,,,,,1/2025 5
,10E,kg,Rye flour,,
,19J,kg,Other,,
11.03,,,"Cereal groats, meal and pellets:",,
,,,Groats and meal:,,
1103.11.00,00F,kg,Of wheat,5,Free
,,,,,*See Below
,,,,,RCEP 3.5
,,,,,1/2025 3
1103.13.00,00E,kg,Of maize (corn),5,Free
,,,,,*See Below
,,,,,LDC 4
1103.19,,,Of other cereals:,,
1103.19.01,00J,kg,Barley and meslin,5,Free
,,,,,*See Below
,,,,,LDC 4
1103.19.05,00D,kg,Of oats,5,Free
,,,,,*See Below
,,,,,LDC 4
1103.19.09,,,Other,Free,Free
,12C,kg,Of rice,,
,19L,kg,Other,,
1103.2,,,Pellets:,,
1103.20.01,00A,kg,Of wheat,5,Free
,,,,,*See Below
,,,,,RCEP 5
,,,,,1/2025 5
1103.20.05,00G,kg,"Of barley, maize, meslin, oats",5,Free
,,,,,*See Below
,,,,,RCEP 4
,,,,,1/2025 3.7
1103.20.09,00B,kg,Of other cereals,Free,Free
11.04,,,"Cereal grains otherwise worked (for example, hulled, rolled, flaked,",,
,,,"pearled, sliced or kibbled), except rice of heading 10.06; germ of",,
,,,"cereals, whole, rolled, flaked or ground:",,
,,,Rolled or flaked grains:,,
1104.12.00,00J,kg,Of oats,5,Free
,,,,,*See Below
,,,,,LDC 4
,,,,,RCEP 3.5
,,,,,1/2025 3
1104.19.00,,,Of other cereals,5,Free
,,,,,*See Below
,,,,,LDC 4
,11F,kg,Of barley,,
,19A,kg,Other,,
,,,"Other worked grains (for example, hulled, pearled, sliced or kibbled):",,
1104.22.00,00B,kg,Of oats,5,Free
,,,,,*See Below
,,,,,LDC 4
,,,"Cereal grains otherwise worked (for example, hulled, etc.continued",,
,,,"Other worked grains (for example, hulled, pearled, sliced, etc.continued",,
1104.23.00,00G,kg,Of maize (corn),5,Free
,,,,,*See Below
,,,,,LDC 4
1104.29.00,,,Of other cereals,5,Free
,,,,,*See Below
,,,,,LDC 4
,11K,kg,Of barley,,
,19E,kg,Other,,
1104.30.00,00G,kg,"Germ of cereals, whole, rolled, flaked or ground",5,Free
,,,,,*See Below
,,,,,LDC 4
11.05,,,"Flour, meal, powder, flakes, granules and pellets of potatoes:",,
1105.10.00,01F,kg,"Flour, meal and powder",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
1105.20.00,00A,kg,"Flakes, granules and pellets",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
11.06,,,"Flour, meal and powder of the dried leguminous vegetables of heading",,
,,,"07.13, of sago or of roots or tubers of heading 07.14 or of the products",,
,,,of Chapter 8:,,
1106.10.00,01D,kg,Of the dried leguminous vegetables of heading 07.13,Free,Free
1106.20.00,01H,kg,Of sago or of roots or tubers of heading 07.14,Free,Free
1106.30.00,,,Of the products of Chapter 8,Free,Free
,,,Blackcurrant powder:,,
,11J,kg,Having anthocyanin levels of less than 5 %,,
,15A,kg,Other,,
,19D,kg,Other,,
11.07,,,"Malt, whether or not roasted:",,
1107.10.00,,,Not roasted,Free,Free
,01B,kg,For use in brewing,,
,09H,kg,Other,,
1107.20.00,,,Roasted,Free,Free
,01F,kg,For use in brewing,,
,09A,kg,Other,,
11.08,,,Starches; inulin:,,
,,,Starches:,,
1108.11.00,00G,kg,–Wheat starch,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
1108.12.00,00A,kg,Maize (corn) starch,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
1108.13.00,00F,kg,Potato starch,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
1108.14.00,00L,kg,Manioc (cassava) starch,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
1108.19,,,Other starches:,,
1108.19.01,00K,kg,–Arrowroot,Free,Free
,,,"Starches; inulin, etc.continued",,
,,,Starchescontinued,,
,,,Other starchescontinued,,
1108.19.09,00L,kg,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
1108.20.00,00F,kg,Inulin,Free,Free
11.09,,,,,
1109.00.00,00G,kg,"Wheat gluten, whether or not dried",Free,Free
12.01,,,"Soya beans, whether or not broken:",,
1201.10.00,00A,kg,Seed,Free,Free
1201.90.00,00L,kg,Other,Free,Free
12.02,,,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled",,
,,,or broken:,,
1202.30.00,00G,kg,Seed,Free,Free
,,,Other:,,
1202.41.00,00E,kg,In shell,Free,Free
1202.42.00,00K,kg,"Shelled, whether or not broken",Free,Free
12.03,,,,,
1203.00.00,00D,kg,Copra,Free,Free
12.04,,,,,
1204.00.00,00B,kg,"Linseed, whether or not broken",Free,Free
12.05,,,"Rape or colza seeds, whether or not broken:",,
1205.10.00,,,Low erucic acid rape or colza seeds,Free,Free
,,,Rape seed for agricultural purposes:,,
,12H,kg,Certified,,
,15B,kg,Uncertified,,
,19E,kg,Other,,
1205.90.00,,,Other,Free,Free
,,,Rape seed for agricultural purposes:,,
,12G,kg,Certified,,
,15A,kg,Uncertified,,
,19D,kg,Other,,
12.06,,,,,
1206.00.00,00J,kg,"Sunflower seeds, whether or not broken",Free,Free
12.07,,,"Other oil seeds and oleaginous fruits, whether or not broken:",,
1207.10.00,10H,kg,Palm nuts and kernels,Free,Free
,,,Cotton seeds:,,
1207.21.00,00J,kg,Seed,Free,Free
1207.29.00,00E,kg,Other,Free,Free
1207.30.00,10E,kg,Castor oil seeds,Free,Free
1207.40.00,00A,kg,Sesamum seeds,Free,Free
1207.50.00,00E,kg,Mustard seeds,Free,Free
1207.60.00,10F,kg,Safflower (Carthamus tinctorius) seeds,Free,Free
1207.70.00,00B,kg,Melon seeds,Free,Free
,,,Other:,,
1207.91.00,00D,kg,Poppy seeds,Free,Free
1207.99.00,,,Other,Free,Free
,13B,kg,Shea nuts (karite nuts),,
,,,Hemp (cannabis) seeds:,,
,14L,kg,Whole,,
,17E,kg,Hulled,,
,24H,kg,Other,,
,29J,kg,Other,,
12.08,,,"Flours and meals of oil seeds or oleaginous fruits, other than those of",,
,,,mustard:,,
1208.10.00,00J,kg,Of soya beans,Free,Free
1208.90.00,,,Other,Free,Free
,,,Of hemp (cannabis) seeds:,,
,10E,kg,Flour,,
,15F,kg,Meal,,
,19J,kg,Other,,
12.09,,,"Seeds, fruit and spores, of a kind used for sowing:",,
1209.10.00,00G,kg,Sugar beet seeds,Free,Free
,,,Seeds of forage plants:,,
1209.21.00,10B,kg,Lucerne (alfalfa) seeds,Free,Free
,,,"Seeds, fruit and spores, of a kind used for, sowingcontinued",,
,,,Seeds of forage plantscontinued,,
1209.22.00,,,Clover (Trifolium spp.) seeds,Free,Free
,02F,kg,Alsike,,
,09C,kg,Cluster,,
,12C,kg,Cluster and white mixtures,,
,,,Lotus corniculatus:,,
,15H,kg,Certified,,
,18B,kg,Uncertified,,
,,,Lotus pedunculatus (Luliginosus):,,
,22L,kg,"Grasslands Maku, certified",,
,28K,kg,Uncertified,,
,,,Red clover:,,
,,,Certified:,,
,32H,kg,Grasslands Hamua,,
,35B,kg,Grasslands Pawera,,
,38G,kg,Grasslands Turoa,,
,42E,kg,Fox,,
,44A,kg,Spadoni,,
,46H,kg,Other,,
,48D,kg,Uncertified,,
,,,Serradella:,,
,52B,kg,Grasslands Koha,,
,54J,kg,Uncertified,,
,,,Strawberry:,,
,56E,kg,Certified,,
,58A,kg,Uncertified,,
,62K,kg,Subterranean clover,,
,65D,kg,Suckling,,
,68J,kg,Suckling and white mixtures,,
,72G,kg,Sulla,,
,78F,kg,Sweet clover,,
,,,White clover:,,
,,,Certified:,,
,82D,kg,Grasslands Huia,,
,84L,kg,Grasslands Kopu,,
,86G,kg,Grasslands Pitau,,
,88C,kg,Grasslands Tahora,,
,93K,kg,Other,,
,95F,kg,Uncertified,,
,98L,kg,Other,,
1209.23.00,,,Fescue seeds,Free,Free
,02L,kg,Grasslands Cook,,
,08K,kg,Grasslands Roa,,
,11K,kg,Grasslands Tasman,,
,18G,kg,"Other certified chewings, or red fescue",,
,29B,kg,Other certified tall fescue,,
,31D,kg,"Uncertified chewings, or red fescue",,
,39K,kg,Uncertified tall fescue,,
,49G,kg,Rye grass mixtures,,
1209.24.00,00J,kg,Kentucky blue grass (Poa pratensis L.) seeds,Free,Free
1209.25.00,,,"Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seeds",Free,Free
,,,Certified:,,
,02K,kg,Ceres Progrow,,
,08J,kg,Concord,,
,12G,kg,Droughtmaster,,
,18F,kg,Ellett,,
,22D,kg,Grasslands Ariki,,
,28C,kg,Grasslands Coronet,,
,32A,kg,Grasslands Manawa,,
,38L,kg,Grasslands Moata,,
,42J,kg,Grasslands Nui,,
,48H,kg,Grasslands Paroa,,
,52F,kg,Grasslands Ruanui,,
,58E,kg,Grasslands Tama,,
,62C,kg,Yatsyn,,
,68B,kg,Other,,
,,,Uncertified:,,
,72L,kg,Hybrid,,
,78K,kg,Italian,,
,88G,kg,Perennial,,
,,,"Seeds, fruit and spores, of a kind used for, sowingcontinued",,
,,,Seeds of forage plantscontinued,,
1209.29.00,,,Other,Free,Free
,,,Brome grasses:,,
,02H,kg,Grasslands Hakari,,
,08G,kg,Grasslands Tiki,,
,,,Brown top:,,
,12E,kg,Grasslands Egmont,,
,18D,kg,Grasslands Sefton,,
,22B,kg,New Zealand,,
,28A,kg,Uncertified,,
,,,Cockfoot:,,
,,,Certified:,,
,32K,kg,Grasslands Apanui,,
,33H,kg,Grasslands Kara,,
,37L,kg,Grasslands Wana,,
,38J,kg,Other,,
,43E,kg,Uncertified,,
,,,Crested dogstail:,,
,45A,kg,Certified,,
,49D,kg,Uncertified,,
,,,Prairie grass:,,
,52D,kg,Grasslands Matua,,
,58C,kg,Uncertified,,
,,,Yorkshire fog:,,
,,,Certified:,,
,61C,kg,Massey Basyn,,
,65F,kg,Other,,
,69J,kg,Uncertified,,
,81H,kg,Grasslands Puna Chicory,,
,,,Timothy grass seed:,,
,83D,kg,"Grasslands Kahu, certified",,
,85L,kg,Uncertified,,
,87G,kg,Beetroot,,
,89C,kg,Other,,
1209.30.00,,,Seeds of herbaceous plants cultivated principally for their flowers,Free,Free
,01B,kg,In retail packs,,
,09H,kg,Other,,
,,,Other:,,
1209.91.00,,,Vegetable seeds,Free,Free
,,,In retail packs:,,
,01J,kg,Cabbage,,
,09D,kg,Carrot,,
,11F,kg,Onion,,
,19A,kg,Radish,,
,21C,kg,Tomato,,
,29J,kg,Silver beet,,
,39F,kg,Other,,
,,,Other:,,
,41H,kg,Cabbage,,
,49C,kg,Carrot,,
,51E,kg,Onion,,
,59L,kg,Radish,,
,61B,kg,Tomato,,
,69H,kg,Silver beet,,
,79E,kg,Other,,
1209.99.00,,,Other,Free,Free
,,,Kale:,,
,,,Marrow-stemmed:,,
,01E,kg,".Certified seed, 2nd generation",,
,09L,kg,.Uncertified,,
,19H,kg,Other,,
,21K,kg,Lupin,,
,29E,kg,"Swede, for seed purposes",,
,31G,kg,"Turnip, for seed purposes",,
,39B,kg,Yarrow,,
,,,Flower:,,
,41D,kg,In retail packs,,
,49K,kg,Other,,
,51A,kg,Tree,,
,59G,kg,Other,,
12.1,,,"Hop cones, fresh or dried, whether or not ground, powdered or in the",,
,,,form of pellets; lupulin:,,
1210.10.00,00L,kg,"Hop cones, neither ground nor powdered nor in the form of pellets",Free,Free
1210.2,,,"Hop cones, ground, powdered or in the form of pellets; lupulin:",,
1210.20.01,00L,kg,"Hop cones, ground, powdered or in the form of pellets",Free,Free
1210.20.09,00A,kg,Lupulin,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
12.11,,,"Plants and parts of plants (including seeds and fruits), of a kind used",,
,,,"primarily in perfumery, in pharmacy or for insecticidal, fungicidal or",,
,,,"similar purposes, fresh, chilled, frozen or dried, whether or not cut,",,
,,,crushed or powdered:,,
1211.20.00,10K,kg,Ginseng roots,Free,Free
1211.30.00,10C,kg,Coca leaf,Free,Free
1211.40.00,10G,kg,Poppy straw,Free,Free
1211.50.00,10L,kg,Ephedra,Free,Free
1211.60.00,00G,kg,Bark of African cherry (Prunus africana),Free,Free
1211.90.10,,,Other,Free,Free
,10L,kg,Liquorice roots,,
,,,Salvia divinorum:,,
,13E,kg,Fresh leaves,,
,19D,kg,Dried leaves (prepared for smoking),,
,23B,kg,Dried leaves mixed with Salvinorin A extract,,
,29A,kg,Other,,
,50K,kg,Other,,
12.12,,,"Locust beans, seaweeds and other algae, sugar beet and sugar cane,",,
,,,"fresh, chilled, frozen or dried, whether or not ground; fruit stones and",,
,,,kernels and other vegetable products (including unroasted chicory,,
,,,roots of the variety Cichorium intybus sativum) of a kind used primarily,,
,,,"for human consumption, not elsewhere specified or included:",,
,,,Seaweeds and other algae:,,
1212.21.00,,,Fit for human consumption,Free,Free
,10B,.,Fresh or chilled,,
,,,Other:,,
,15C,.,"Hijiki (Mehijiki, Hiziki, Hijaki) seaweed (Hizikia fusiforme)",,
,19F,.,Other,,
1212.29.00,,,Other,Free,Free
,10J,.,Fresh or chilled,,
,,,Other:,,
,15K,.,"Hijiki (Mehijiki, Hiziki, Hijaki) seaweed (Hizikia fusiforme)",,
,19B,.,Other,,
,,,Other:,,
1212.91.00,00L,kg,Sugar beet,Free,Free
1212.92.00,10B,kg,Locust beans (carob),Free,Free
1212.93.00,00K,.,Sugar cane,Free,Free
1212.94.00,00D,kg,Chicory roots,Free,Free
1212.99.00,,,Other,Free,Free
,10D,kg,"Apricot, peach (including nectarine) or plum stones and kernels",,
,13J,kg,Blackcurrant pomace,,
,39B,kg,Other,,
12.13,,,,,
1213,,,"Cereal straw and husks, unprepared, whether or not chopped, ground,",,
,,,pressed or in the form of pellets:,,
1213.00.01,00H,.,Cereal straw and husks ground or pelletised for animal food,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
1213.00.09,00J,kg,Other,Free,Free
12.14,,,"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin,",,
,,,"forage kale, lupines, vetches and similar forage products, whether or",,
,,,not in the form of pellets:,,
1214.10.00,00C,kg,Lucerne (alfalfa) meal and pellets,Free,Free
1214.90.00,00B,.,Other,Free,Free
13.01,,,"Lac; natural gums, resins, gum-resins and oleoresins",,
,,,"(for example, balsams)",,
1301.20.00,00A,kg,Gum Arabic,Free,Free
1301.90.00,,,Other,Free,Free
,01E,kg,"Benzoin, dammer, tragacanth and Indian gums",,
,09L,kg,Kauri gum,,
,,,Lac:,,
,13J,kg,Shellac,,
,15E,kg,Other,,
,19H,kg,Other,,
13.02,,,"Vegetable saps and extracts; pectic substances, pectinates and",,
,,,"pectates; agar-agar and other mucilages and thickeners, whether or",,
,,,"not modified, derived from vegetable products:",,
,,,Vegetable saps and extracts:,,
1302.11.00,00L,kg,Opium,Free,Free
1302.12.00,00E,kg,Of liquorice,Free,Free
1302.13.00,00K,kg,Of hops,Free,Free
1302.14.00,10A,kg,Of ephedra,Free,Free
1302.19.00,,,Other,Free,Free
,01E,kg,Of vanilla,,
,10D,kg,Of pyrethrum or of the roots of plants containing rotenone,,
,29E,kg,Other,,
1302.20.00,00K,kg,"Pectic substances, pectinates and pectates",Free,Free
,,,"Mucilages and thickeners, whether or not modified, derived",,
,,,from vegetable products:,,
1302.31.00,00H,kg,Agar-agar,Free,Free
1302.32.00,00B,kg,"Mucilages and thickeners, whether or not modified, derived",,
,,,"from locust beans, locust bean seeds or guar seeds",Free,Free
1302.39.00,00D,kg,Other,Free,Free
14.01,,,"Vegetable materials of a kind used primarily for plaiting (for example,",,
,,,"bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or",,
,,,"dyed cereal straw, and lime bark):",,
1401.10.00,00D,.,Bamboos,Free,Free
1401.20.00,00H,.,Rattans,Free,Free
1401.90.00,00C,.,Other,Free,Free
14.04,,,Vegetable products not elsewhere specified or included:,,
1404.20.00,00B,kg,Cotton linters,Free,Free
1404.90.00,,,Other,Free,Free
,,,Vegetable materials of a kind used primarily as stuffing or as padding,,
,,,"(for example, kapok, vegetable hair and eel-grass), whether or not put",,
,,,up as a layer with or without supporting material:,,
,10E,kg,Kapok,,
,13K,kg,Vegetable hair,,
,16D,kg,Other,,
,,,Vegetable materials of a kind used primarily in brooms or in brushes,,
,,,"(for example, broomcorn, piassava, couch-grass and istle), whether or",,
,,,not in hanks or bundles:,,
,19J,kg,Broomcorn (sorghum vulgare vartechnicum),,
,22J,kg,Other,,
,,,Other:,,
,25C,.,Raw vegetable materials of a kind used primarily in dyeing,,
,39C,.,Other,,
