Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,,,,,RCEP 4
,,,,,1/2025 3.7
,10A,m3,Not preservative treated,,
,19E,m3,Preservative treated,,
4407.11.19,,,Other,Free,Free
,10D,m3,Not preservative treated,,
,19H,m3,Preservative treated,,
,,,Other kinds:,,
4407.11.29,,,Planed,Free,Free
,10K,m3,"Square dressed, structural:",,
,19C,m3,Other,,
4407.11.31,,,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,10D,m3,Not preservative treated,,
,19H,m3,Preservative treated,,
4407.11.39,00H,m3,Other,Free,Free
4407.12,,,Of fir (Abies spp.) and spruce (Picea spp.):,,
4407.12.10,,,Planed,Free,Free
,10A,m3,"Square dressed, structural",,
,19E,m3,Other,,
4407.12.19,,,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,10J,m3,Not preservative treated,,
,19B,m3,Preservative treated,,
4407.12.30,00E,m3,Other,Free,Free
4407.13,,,"Of S-P-F (spruce (Picea spp.), pine (Pinus spp.) and fir (Abies spp.)):",,
4407.13.10,,,Planed,Free,Free
,10F,m3,"Square dressed, structural",,
,19K,m3,Other,,
4407.13.19,,,Sanded or finger jointed,Free,Free
,10C,m3,Not preservative treated,,
,19G,m3,Preservative treated,,
4407.13.30,00K,m3,Other,Free,Free
,,,"Wood sawn or chipped lengthwise, sliced or peeled, etc.continued",,
,,,Coniferouscontinued,,
4407.14,,,Of Hem-fir (Western hemlock (Tsuga heterophylla) and fir (Abies spp.)):,,
4407.14.10,,,Planed,Free,Free
,10L,m3,"Square dressed, structural",,
,19D,m3,Other,,
4407.14.19,,,Sanded or finger jointed,Free,Free
,10H,m3,Not preservative treated,,
,19A,m3,Preservative treated,,
4407.14.30,00D,m3,Other,Free,Free
4407.19,,,Other:,,
,,,Juniper virginiana (Äúeastern red cedarÄù):,,
4407.19.10,,,Planed,Free,Free
,10C,m3,"Square dressed, structural",,
,19G,m3,Other,,
4407.19.11,00B,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.19.13,00E,m3,Other,Free,Free
,,,Sequoia sempervierens (ÄúredwoodÄù):,,
4407.19.15,,,Planed,Free,Free
,10E,m3,"Square dressed, structural",,
,19J,m3,Other,,
4407.19.17,00L,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.19.19,00C,m3,Other,Free,Free
,,,"Pseudotsuga douglasii (""Douglas fir"", ""Oregon pine""):",,
4407.19.21,,,Planed,Free,Free
,10E,m3,"Square dressed, structural",,
,19J,m3,Other,,
4407.19.23,00L,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.19.25,00C,m3,Other,Free,Free
,,,"Thuja plicata (""western red cedar""):",,
4407.19.27,,,Planed,Free,Free
,10C,m3,"Square dressed, structural",,
,19G,m3,Other,,
4407.19.29,00J,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.19.31,00C,m3,Other,Free,Free
4407.19.39,,,Other,Free,Free
,10A,m3,Larch,,
,15B,m3,Rimu,,
,20J,m3,Other,,
,,,Of tropical wood:,,
4407.21,,,Mahogany (Swietenia spp.):,,
4407.21.12,,,Planed,Free,Free
,10C,m3,"Square dressed, structural",,
,15D,m3,Other,,
4407.21.25,00L,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,,,"Wood sawn or chipped lengthwise, sliced or peeled, etc.continued",,
,,,Of tropical woodcontinued,,
,,,Mahogany (Swietenia spp.)continued,,
4407.21.95,00J,m3,Other,Free,Free
4407.22,,,"Virola, Imbuia and Balsa:",,
4407.22.12,,,Planed,Free,Free
,10H,m3,"Square dressed, structural",,
,15J,m3,Other,,
4407.22.25,00E,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
4407.22.95,00C,m3,Other,Free,Free
4407.23,,,Teak:,,
4407.23.10,,,Planed,Free,Free
,10K,m3,"Square dressed, structural",,
,14B,m3,Other,,
4407.23.19,18B,m3,Sanded or finger jointed,5,Free
,,,,,*See Below
,,,,,CA Free
4407.23.30,22D,m3,Other,Free,Free
4407.25,,,"Dark Red Meranti, Light Red Meranti and Meranti Bakau:",,
4407.25.10,,,Planed,Free,Free
,01K,m3,"Square dressed, structural",,
,09E,m3,Other,,
4407.25.20,00G,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.25.90,00E,m3,Other,Free,Free
4407.26,,,"White Lauan, White Meranti, White Seraya, Yellow Meranti and Alan:",,
4407.26.10,,,Planed,Free,Free
,01D,m3,"Square dressed, structural",,
,09K,m3,Other,,
4407.26.20,00A,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.26.90,00K,m3,Other,Free,Free
4407.27,,,Sapelli:,,
4407.27.01,,,Planed,Free,Free
,10J,m3,"Square dressed, structural",,
,19B,m3,Other,,
4407.27.09,00B,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
4407.27.19,00H,m3,Other,Free,Free
4407.28,,,Iroko:,,
4407.28.01,,,Planed,Free,Free
,10C,m3,"Square dressed, structural",,
,19G,m3,Other,,
4407.28.09,00G,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.28.19,00B,m3,Other,Free,Free
4407.29,,,Other:,,
,,,"Wood sawn or chipped lengthwise, sliced or peeled, etc.continued",,
,,,Of tropical woodcontinued,,
,,,Othercontinued,,
,,,Planed:,,
4407.29.10,,,"Keruing, Ramin, Kapur, Jongkong, Merbau, Jelutong and Kempas",Free,Free
,,,"Square dressed, structural:",,
,10G,m3,Merbau (Kwila),,
,15H,m3,Ramin,,
,20D,m3,Other,,
,,,Other:,,
,27A,m3,Merbau (Kwila),,
,29H,m3,Ramin,,
,40J,m3,Other,,
4407.29.25,,,"Okoum, Obeche, Sipo, Acajou dAfrique, Makor, Tiama,",,
,,,"Mansonia, Ilomba, Dibtou, Limba and Azob",Free,Free
,10D,m3,"Square dressed, structural",,
,19H,m3,Other,,
4407.29.30,,,Other,Free,Free
,10H,m3,"Square dressed, structural",,
,19A,m3,Other,,
4407.29.40,,,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,12K,m3,"Keruing, Kapur, Jongkong, Jelutong and Kempas",,
,15D,m3,"Okoum, Obeche, Sipo, Acajou dAfrique, Makor, Tiama,",,
,,,"Mansonia, Ilomba, Dibtou, Limba and Azob",,
,19G,m3,Merbau (Kwila),,
,27H,m3,Ramin,,
,49J,m3,Other,,
4407.29.90,,,Other,Free,Free
,12G,m3,"Keruing, Kapur, Jongkong, Jelutong and Kempas",,
,15A,m3,"Okoum, Obeche, Sipo, Acajou dAfrique, Makor, Tiama,",,
,,,"Mansonia, Ilomba, Dibtou, Limba and Azob",,
,19D,m3,Merbau (Kwila),,
,27E,m3,Ramin,,
,49F,m3,Other,,
,,,Other:,,
4407.91,,,Of oak (Quercus spp.):,,
4407.91.01,,,Planed,Free,Free
,01H,m3,"Square dressed, structural",,
,09C,m3,Other,,
4407.91.09,00L,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.91.19,00F,m3,Other,Free,Free
4407.92,,,Of beech (Fagus spp.):,,
4407.92.01,,,Planed,Free,Free
,01B,m3,"Square dressed, structural",,
,09H,m3,Other,,
4407.92.09,00E,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.92.19,00L,m3,Other,Free,Free
4407.93,,,Of maple (Acer spp.):,,
4407.93.01,,,Planed,Free,Free
,10F,m3,"Square dressed, structural",,
,19K,m3,Other,,
4407.93.09,00K,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.93.19,00E,m3,Other,Free,Free
,,,"Wood sawn or chipped lengthwise, sliced or peeled, etc.continued",,
,,,Othercontinued,,
4407.94,,,Of cherry (Prunus spp.):,,
4407.94.01,,,Planed,Free,Free
,10L,m3,"Square dressed, structural",,
,19D,m3,Other,,
4407.94.09,00D,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.94.19,00K,m3,Other,Free,Free
4407.95,,,Of Ash (Fraxinus spp.):,,
4407.95.01,,,Planed,Free,Free
,10E,m3,"Square dressed, structural",,
,19J,m3,Other,,
4407.95.09,00J,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.95.19,00D,m3,Other,Free,Free
4407.96,,,Of birch (Betula spp.):,,
4407.96.10,,,Planed,Free,Free
,10J,m3,"Square dressed, structural",,
,19B,m3,Other,,
4407.96.15,00C,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
4407.96.19,00J,m3,Other,Free,Free
4407.97,,,Of poplar and aspen (Populus spp.):,,
4407.97.10,,,Planed,Free,Free
,10C,m3,"Square dressed, structural",,
,19G,m3,Other,,
4407.97.15,00H,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
4407.97.19,00C,m3,Other,Free,Free
4407.99,,,Other:,,
,,,"Hickory, Juglans species:",,
